Season,Team,GP,W,L
2005 - 06,San Jose Sharks,82,44,27
2006 - 07,San Jose Sharks,82,51,26
2007 - 08,San Jose Sharks,82,49,23
2008 - 09,San Jose Sharks,82,53,18
2009 - 10,San Jose Sharks,82,51,20
2010 - 11,San Jose Sharks,82,48,25
2011 - 12,San Jose Sharks,82,43,29
2012 - 13,San Jose Sharks,48,25,16
2013 - 14,San Jose Sharks,82,51,22
2014 - 15,San Jose Sharks,82,40,33
2015 - 16,San Jose Sharks,82,46,30
2016 - 17,San Jose Sharks,82,46,29
2005 - 06,Los Angeles Kings,82,42,35
2006 - 07,Los Angeles Kings,82,27,41
2007 - 08,Los Angeles Kings,82,32,43
2008 - 09,Los Angeles Kings,82,34,37
2009 - 10,Los Angeles Kings,82,46,27
2010 - 11,Los Angeles Kings,82,46,30
2011 - 12,Los Angeles Kings,82,40,27
2012 - 13,Los Angeles Kings,48,27,16
2013 - 14,Los Angeles Kings,82,46,28
2014 - 15,Los Angeles Kings,82,40,27
2015 - 16,Los Angeles Kings,82,48,28
2016 - 17,Los Angeles Kings,82,39,35
2005 - 06,Edmonton,82,41,28
2006 - 07,Edmonton,82,32,43
2007 - 08,Edmonton,82,41,35
2008 - 09,Edmonton,82,38,35
2009 - 10,Edmonton,82,27,47
2010 - 11,Edmonton,82,25,45
2011 - 12,Edmonton,82,32,40
2012 - 13,Edmonton,48,19,22
2013 - 14,Edmonton,82,29,44
2014 - 15,Edmonton,82,24,44
2015 - 16,Edmonton,82,31,43
2016 - 17,Edmonton,82,47,26
2005 - 06,Calgary Flames,82,46,25
2006 - 07,Calgary Flames,82,43,29
2007 - 08,Calgary Flames,82,42,30
2008 - 09,Calgary Flames,82,46,30
2009 - 10,Calgary Flames,82,40,32
2010 - 11,Calgary Flames,82,41,29
2011 - 12,Calgary Flames,82,37,29
2012 - 13,Calgary Flames,48,19,25
2013 - 14,Calgary Flames,82,35,40
2014 - 15,Calgary Flames,82,45,30
2015 - 16,Calgary Flames,82,35,40
2016 - 17,Calgary Flames,82,45,33
2005 - 06,Arizona Coyotes,82,38,39
2006 - 07,Arizona Coyotes,82,31,46
2007 - 08,Arizona Coyotes,82,38,37
2008 - 09,Arizona Coyotes,82,36,39
2009 - 10,Arizona Coyotes,82,50,25
2010 - 11,Arizona Coyotes,82,43,26
2011 - 12,Arizona Coyotes,82,42,27
2012 - 13,Arizona Coyotes,48,21,18
2013 - 14,Arizona Coyotes,82,37,30
2014 - 15,Arizona Coyotes,82,24,50
2015 - 16,Arizona Coyotes,82,35,39
2016 - 17,Arizona Coyotes,82,30,42
2005 - 06,Anaheim Ducks,82,43,27
2006 - 07,Anaheim Ducks,82,48,20
2007 - 08,Anaheim Ducks,82,47,27
2008 - 09,Anaheim Ducks,82,42,33
2009 - 10,Anaheim Ducks,82,39,32
2010 - 11,Anaheim Ducks,82,47,30
2011 - 12,Anaheim Ducks,82,34,36
2012 - 13,Anaheim Ducks,48,30,12
2013 - 14,Anaheim Ducks,82,54,20
2014 - 15,Anaheim Ducks,82,51,24
2015 - 16,Anaheim Ducks,82,46,25
2016 - 17,Anaheim Ducks,82,46,23
2005 - 06,Vancouver Canucks,82,42,32
2006 - 07,Vancouver Canucks,82,49,26
2007 - 08,Vancouver Canucks,82,39,33
2008 - 09,Vancouver Canucks,82,45,27
2009 - 10,Vancouver Canucks,82,49,28
2010 - 11,Vancouver Canucks,82,54,19
2011 - 12,Vancouver Canucks,82,51,22
2012 - 13,Vancouver Canucks,48,26,15
2013 - 14,Vancouver Canucks,82,36,35
2014 - 15,Vancouver Canucks,82,48,29
2015 - 16,Vancouver Canucks,82,31,38
2016 - 17,Vancouver Canucks,82,30,43
